Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bc5f6c281ac5665e8b8753,699f3660c001c35b3053b065,APPROVED,Not Applicable,2026-03-19T20:41:21.423000Z,2026-03-19T20:46:39.212000Z,2026-03-20T05:57:48.814000Z,2026-03-19T20:46:39.632893Z,318.0,CO7GMO3N,4,Software Engineer / Developer,English,35,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69bc5f8cb164e1dab085141b,691c40d958db6e767bb4e586,APPROVED,Not Applicable,2026-03-19T20:41:54.467000Z,2026-03-19T20:45:00.910000Z,2026-03-20T05:57:50.111000Z,2026-03-19T20:45:01.393675Z,187.0,CO7GMO3N,14,Software Engineer / Developer,"English, Gaelic",43,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time
69bc6028a3e220712cd01b49,6994afa7e4baded98f7e3b3c,APPROVED,Not Applicable,2026-03-19T20:44:28.987000Z,2026-03-19T20:50:03.222000Z,2026-03-20T05:57:50.408000Z,2026-03-19T20:50:03.782452Z,335.0,CO7GMO3N,21,Software Engineer / Developer,"English, Spanish",26,Male,Other,"Venezuela, Bolivarian Republic of",Spain,"Venezuela, Bolivarian Republic of",Spanish,No,Full-Time
69bc6f546c68ba0982002c6c,6972b99daea56bc84f1fed7a,APPROVED,Not Applicable,2026-03-19T21:51:24.651000Z,2026-03-19T21:55:58.486000Z,2026-03-20T05:57:50.723000Z,2026-03-19T21:55:58.990407Z,274.0,CO7GMO3N,71,Software Engineer / Developer,"English, French, Italian",25,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time
69bc740f9b2ef1c1e9e83afb,698504ad2835400a3c4b8a6c,APPROVED,Not Applicable,2026-03-19T22:09:23.514000Z,2026-03-19T22:14:37.539000Z,2026-03-20T05:57:51.155000Z,2026-03-19T22:14:38.047875Z,315.0,CO7GMO3N,11,Software Engineer / Developer,English,28,Male,White,France,France,France,French,No,Full-Time
69bc777ca90a1c9e0750704b,691adee5d08bbf49e8c704c5,APPROVED,Not Applicable,2026-03-19T22:23:56.691000Z,2026-03-19T22:27:48.212000Z,2026-03-20T05:57:51.560000Z,2026-03-19T22:27:49.800293Z,232.0,CO7GMO3N,4,Cybersecurity Specialist,English,25,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
69bc7c3a13b86f7e26002c57,697bec4a91d0eeba2a301078,APPROVED,Not Applicable,2026-03-19T22:44:13.755000Z,2026-03-19T22:47:41.387000Z,2026-03-20T05:57:51.879000Z,2026-03-19T22:47:41.794465Z,208.0,CO7GMO3N,17,Software Engineer / Developer,"English, French",27,Male,White,France,France,France,French,No,Full-Time
69bc7d5fcac299554ec78227,697bd09f68f20358afb3f744,APPROVED,Not Applicable,2026-03-19T22:49:17.029000Z,2026-03-19T22:56:49.046000Z,2026-03-20T05:57:52.188000Z,2026-03-19T22:57:01.129024Z,453.0,CO7GMO3N,9,Software Engineer / Developer,"Spanish, English, Arabic",31,Male,White,Morocco,Spain,Spain,Spanish,No,Full-Time
69bc7fa5427bd22ee47505bf,69adc6896a06b060bff140ed,APPROVED,Not Applicable,2026-03-19T22:58:49.101000Z,2026-03-19T23:02:37.523000Z,2026-03-20T05:57:52.517000Z,2026-03-19T23:02:38.067708Z,229.0,CO7GMO3N,2,Software Engineer / Developer,English,29,Male,Asian,China,Canada,China,Mandarin,No,Full-Time
69bbcf461bfc64db33ee9f3e,69aeda2151ac3f4848492341,RETURNED,Not Applicable,2026-03-19T10:27:53.860000Z,,,,,,18,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bbd20765ae5bd2fe756604,614b55e22ff3944a165736bb,TIMED-OUT,Not Applicable,2026-03-19T10:38:19.774000Z,,,,70093.0,,1508,Software Engineer / Developer,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,DATA_EXPIRED
69bbdfbd33df1c227329a908,6977b21e2855ead95c10eb5f,RETURNED,Not Applicable,2026-03-19T11:36:36.020000Z,,,,,,27,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc1430d1c5e752d705fb50,69a651c9cdbeb94c54f222e5,RETURNED,Not Applicable,,,,,,,180,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc397569153e03a07a8dd7,697b2daef6d3b4690a393768,TIMED-OUT,Not Applicable,2026-03-19T17:59:17.343000Z,,,,43636.0,,3,Software Engineer / Developer,English,40,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time
69bc649b03dd65b1262cbe57,69b0c3c8cdb74bede72c3264,RETURNED,Not Applicable,2026-03-19T21:03:29.288000Z,,,,,,10,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc7bfd1e552bfbcb7de3c4,69a8d5ed359b6b3435929d04,RETURNED,Not Applicable,2026-03-19T22:43:12.936000Z,,,,,,243,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
